league,team,Team,City,Stadium, Capacity ,Latitude,Longitude,Country,geometry
Premier,Man United,Manchester United ,Stretford ,Old Trafford ,75811,53.4631,-2.2914,England,POINT (-2.2914 53.4631)
Premier,Tottenham,Tottenham Hotspur ,London ,White Hart Lane ,36230,51.6033,-0.0658,England,POINT (-0.0658 51.6033)
Premier,West Brom,West Bromwich Albion ,West Bromwich ,The Hawthorns ,27877,52.5092,-1.9639,England,POINT (-1.9639 52.5092)
Premier,Chelsea,Chelsea ,London ,Stamford Bridge ,42449,51.4817,-0.1911,England,POINT (-0.1911 51.4817)
Premier,Bolton,Bolton Wanderers ,Bolton ,Reebok Stadium ,28100,53.5806,-2.5356,England,POINT (-2.5356 53.5806)
Premier,Reading,Reading ,Reading ,Madejski Stadium ,24224,51.4222,-0.9828,England,POINT (-0.9828 51.4222)
Premier,Sheffield United,Sheffield United,Sheffield,Bramall Lane,32702,53.3703,-1.4708,England,POINT (-1.4708 53.3703)
Premier,Watford,Watford ,Watford ,Vicarage Road ,23500,51.6498,-0.4015,England,POINT (-0.4015 51.6498)
Premier,Derby,Derby County ,Derby ,Pride Park Stadium ,33597,52.915,-1.4472,England,POINT (-1.4472 52.915)
Premier,Hull,Hull City ,Kingston upon Hull ,KC Stadium ,25404,53.7461,-0.3678,England,POINT (-0.3678 53.7461)
Premier,Stoke,Stoke City ,Stoke-on-Trent ,Britannia Stadium ,27740,52.9883,-2.1756,England,POINT (-2.1756 52.9883)
Premier,Wolves,Wolverhampton Wanderers ,Wolverhampton ,Molineux Stadium ,27828,52.5903,-2.1303,England,POINT (-2.1303 52.5903)
Premier,Burnley,Burnley ,Burnley ,Turf Moor ,22546,53.7892,-2.2303,England,POINT (-2.2303 53.7892)
Premier,Blackpool,Blackpool ,Blackpool ,Bloomfield Road ,16220,53.8047,-3.0481,England,POINT (-3.0481 53.8047)
Premier,QPR,Queens Park Rangers ,London ,Loftus Road ,18439,51.5092,-0.2322,England,POINT (-0.2322 51.5092)
Premier,Swansea,Swansea City ,Swansea ,Liberty Stadium ,20520,51.6422,-3.9351,England,POINT (-3.9351 51.6422)
Premier,Norwich,Norwich City ,Norwich ,Carrow Road ,27010,52.6221,1.3087,England,POINT (1.3087 52.6221)
Premier,Southampton,Southampton ,Southampton ,St Mary's Stadium ,32689,50.9058,-1.3911,England,POINT (-1.3911 50.9058)
Premier,Crystal Palace,Crystal Palace ,London ,Selhurst Park ,26309,51.3983,-0.0856,England,POINT (-0.0856 51.3983)
Premier,Cardiff,Cardiff City ,Cardiff ,Cardiff City Stadium ,26828,51.4728,-3.2031,England,POINT (-3.2031 51.4728)
Premier,Leicester,Leicester City ,Leicester ,King Power Stadium ,32500,52.6203,-1.1422,England,POINT (-1.1422 52.6203)
